Municipality of residence,People,Average age
22019 Alerre,215,48.06
26009 Alesanco,540,48.04
26010 Alesón,115,56.19
18011 Alfacar,5520,37.92
46022 Alfafar,20700,40.96
03010 Alfafara,415,43.9
50017 Alfajarín,2200,39.71
44016 Alfambra,540,50.15
50018 Alfamén,1575,40.34
22020 Alfántega,140,50.8
43008 Alfara de Carles,405,47.66
46024 Alfara de la Baronia,560,44.74
46025 Alfara del Patriarca,3215,40.33
49005 Alfaraz de Sayago,165,60.79
29003 Alfarnate,1295,45.9
29004 Alfarnatejo,515,47.51
26011 Alfaro,9795,42.48
46026 Alfarp,1540,41.14
25013 Alfarràs,3045,42.81
46027 Alfarrasí,1300,39.47
"03011 Alfàs del Pi, l'",19730,44.68
46023 Alfauir,420,43.81
25014 Alfés,340,44.7
12007 Alfondeguilla,880,47.19
43009 Alforja,1785,41.83
50019 Alforque,85,61.07
27002 Alfoz,2020,52.56
09011 Alfoz de Bricia,85,54.57
39001 Alfoz de Lloredo,2485,47.48
09907 Alfoz de Quintanadueñas,1930,34.49
09012 Alfoz de Santa Gadea,115,51.61
"41007 Algaba, La",15735,37.74
24002 Algadefe,300,50.7
07004 Algaida,5270,42.07
41008 Algámitas,1310,43.16
11003 Algar,1500,42.31
46028 Algar de Palancia,550,46.61
18012 Algarinejo,3030,47.47
29005 Algarrobo,6230,40.36
29006 Algatocín,870,45.28
11004 Algeciras,117410,38.36
46029 Algemesí,28135,39.76
25015 Algerri,440,53.79
28009 Algete,20290,36.14
46030 Algimia de Alfara,1035,43.64
12008 Algimia de Almonacid,295,53.79
46031 Alginet,13605,40.57
11005 Algodonales,5680,41.32
49006 Algodre,175,54.85
19017 Algora,100,52.88
03012 Algorfa,3310,48.81
25016 Alguaire,3095,42.33
30007 Alguazas,9355,36.88
03013 Algueña,1505,43.81
04010 Alhabia,685,44.28
04011 Alhama de Almería,3795,39.96
50020 Alhama de Aragón,1165,44.34
18013 Alhama de Granada,6175,40.65
30008 Alhama de Murcia,20520,38.58
13010 Alhambra,1100,44.23
29007 Alhaurín de la Torre,36855,36.3
29008 Alhaurín el Grande,23140,38.2
18014 Alhendín,7580,36.15
19018 Alhóndiga,205,57.02
10017 Alía,960,54.83
44017 Aliaga,360,48.05
16014 Aliaguilla,755,50.29
03014 Alicante/Alacant,328100,41.12
04012 Alicún,270,43.51
18015 Alicún de Ortega,510,45.41
24003 Alija del Infantado,765,56.99
25017 Alins,300,47.44
43010 Alió,400,45.03
10018 Aliseda,1955,45.93
21002 Aljaraque,19470,35.31
06009 Aljucén,245,45.13
20006 Alkiza,365,38.06
33001 Allande,1945,52.96
32001 Allariz,5935,46.38
44021 Allepuz,120,53.98
33002 Aller,12110,49.39
31011 Allín/Allin,855,44.67
31012 Allo,1045,48.83
44022 Alloza,670,48.94
25019 Almacelles,6395,41.83
29009 Almáchar,1890,42.6
13011 Almadén,5880,45.72
41009 Almadén de la Plata,1520,41.93
13012 Almadenejos,510,48.5
13013 Almagro,9125,40.21
42017 Almajano,215,44.97
42018 Almaluez,185,60.3
02009 Almansa,25235,40.89
24004 Almanza,610,53.1
10019 Almaraz,1550,42.96
49007 Almaraz de Duero,395,56.13
"16015 Almarcha, La",515,49.67
29010 Almargen,2160,42.24
42019 Almarza,645,51.03
46032 Almàssera,7295,40.28
25020 Almatret,355,56.36
42020 Almazán,5820,43.27
12009 Almazora/Almassora,25455,37.89
42021 Almazul,100,61.53
12010 Almedíjar,300,52.33
13014 Almedina,645,47.72
14004 Almedinilla,2500,43.1
18016 Almegíjar,415,48.96
49008 Almeida de Sayago,560,57.65
25021 Almenar,3625,43.83
42022 Almenar de Soria,270,56.98
12011 Almenara,6060,41.17
37027 Almenara de Tormes,290,44.26
37028 Almendra,170,63.06
06010 Almendral,1290,45.93
45011 Almendral de la Cañada,360,56.61
06011 Almendralejo,34150,38.34
"21003 Almendro, El",855,43.21
16016 Almendros,285,53.81
41010 Almensilla,5745,35.23
04013 Almería,188965,39.06
46033 Almiserà,310,43.51
04014 Almócita,190,55.12
13015 Almodóvar del Campo,6675,47.19
16017 Almodóvar del Pinar,445,48.29
14005 Almodóvar del Río,7975,39.86
29011 Almogía,4080,42.22
19021 Almoguera,1465,41.88
10020 Almoharín,1955,44.88
46034 Almoines,2355,39.03
"50022 Almolda, La",605,51.81
50023 Almonacid de la Cuba,265,53.51
50024 Almonacid de la Sierra,765,49.26
45012 Almonacid de Toledo,875,49.06
19022 Almonacid de Zorita,690,44.81
16018 Almonacid del Marquesado,465,49.57
21004 Almonaster la Real,1825,46.76
21005 Almonte,22120,37.59
03015 Almoradí,19165,38.05
45013 Almorox,2455,43.58
43011 Almoster,1370,39.9
03016 Almudaina,120,52.72
22021 Almudévar,2490,45.92
"50025 Almunia de Doña Godina, La",7715,39.27
22022 Almunia de San Juan,665,48.82
22023 Almuniente,560,46.03
18017 Almuñécar,26855,41.6
13016 Almuradiel,840,44.78
46035 Almussafes,8425,39.48
19023 Alocén,150,44.06
48912 Alonsotegi,2840,44.32
29012 Álora,13250,41.57
25022 Alòs de Balaguer,135,56.41
21006 Alosno,4195,44.65
19024 Alovera,12100,32.08
29013 Alozaina,2210,44.5
17006 Alp,1710,38.55
29014 Alpandeire,275,48.84
42023 Alpanseque,80,61.14
50026 Alpartir,570,49.23
28010 Alpedrete,13485,36.14
08004 Alpens,295,42.55
02010 Alpera,2400,43.67
25023 Alpicat,6120,37.72
46036 Alpuente,760,51.81
18904 Alpujarra de la Sierra,1140,48.04
"03017 Alqueria d'Asnar, l'",515,39.51
"46037 Alqueria de la Comtessa, l'",1515,43.05
12901 Alquerías del Niño Perdido,4430,41.18
22024 Alquézar,280,51.11
18018 Alquife,730,47.49
04015 Alsodux,150,51.07
25024 Alt Àneu,430,45.19
43012 Altafulla,4850,40.11
16019 Altarejos,240,59.09
03018 Altea,22315,42.71
22025 Altorricón,1475,47.08
"09014 Altos, Los",195,53.52
31010 Altsasu/Alsasua,7595,42.36
12012 Altura,3785,41.8
20906 Altzaga,160,40.67
20007 Altzo,405,38.18
19027 Alustante,220,51.22
46017 Alzira,44550,40.33
05012 Amavida,175,57.65
50027 Ambel,285,51.41
28011 Ambite,570,46.14
17007 Amer,2255,45.96
15002 Ames,29105,37.27
