Municipality of residence,People,Average age
44143 Manzanera,555,43.58
21047 Manzanilla,2360,42.46
48059 Mañaria,500,44.3
31161 Mañeru,415,45.21
15044 Mañón,1540,56.37
07032 Maó,28600,39.61
45091 Maqueda,510,42.18
50162 Mara,190,51.42
18127 Maracena,21560,37.07
19170 Maranchón,225,48.66
24096 Maraña,160,54.05
40903 Marazoleja,125,52.28
29069 Marbella,134970,38.65
10117 Marchagaz,260,52.07
18128 Marchal,440,45.15
19171 Marchamalo,6405,37.07
41060 Marchena,19845,38.96
31163 Marcilla,2770,42.42
43076 Marçà,640,46.01
43075 Margalef,110,55.39
08242 Marganell,275,41.18
04063 María,1385,47.78
50163 María de Huerva,5135,32.82
07035 Maria de la Salut,2120,44.21
16122 Mariana,285,47.44
36026 Marín,25280,42.01
39040 Marina de Cudeyo,5265,44.16
41061 Marinaleda,2785,39.65
46161 Marines,1850,40.88
"21048 Marines, Los",360,45.44
45092 Marjaliza,310,51.03
48060 Markina-Xemein,4880,43.32
23059 Marmolejo,7295,41.88
50902 Marracos,110,50.11
07036 Marratxí,34460,37.73
45093 Marrupe,155,54.1
37181 Martiago,315,58.2
05121 Martiherrero,280,44.07
41062 Martín de la Jara,2800,40.16
37183 Martín de Yeltes,450,52.79
44144 Martín del Río,425,45.4
40119 Martín Miguel,255,41.51
40120 Martín Muñoz de la Dehesa,205,41.36
40121 Martín Muñoz de las Posadas,380,50.63
05122 Martínez,155,62.07
08114 Martorell,27460,38.5
08115 Martorelles,4855,41.94
23060 Martos,24415,40.51
40122 Marugán,665,46.98
48061 Maruri-Jatabe,960,43.02
43077 Mas de Barberans,635,47.43
44145 Mas de las Matas,1305,46.17
17100 Masarac,280,45.32
45094 Mascaraque,515,48.8
43078 Masdenverge,1110,44.89
32045 Maside,2940,51.44
"08116 Masies de Roda, Les",765,41.83
"08117 Masies de Voltregà, Les",3150,41.1
43079 Masllorenç,520,43.89
"08118 Masnou, El",22165,41.43
"43080 Masó, La",295,47.24
43081 Maspujols,740,39.88
08119 Masquefa,8370,37.46
"43082 Masroig, El",555,47.36
46162 Massalavés,1645,42.17
25131 Massalcoreig,565,46.49
46163 Massalfassar,2350,39.04
46164 Massamagrell,15295,39.75
46165 Massanassa,8865,40.62
17101 Massanes,710,41.06
25132 Massoteres,200,41.88
37184 Masueco,390,56.98
10118 Mata de Alcántara,325,51.52
40124 Mata de Cuéllar,295,47.32
"37186 Mata de Ledesma, La",115,62.6
"44146 Mata de los Olmos, La",275,41.4
"12075 Mata de Morella, la",200,44.03
"45095 Mata, La",990,47.24
40123 Matabuena,225,49.42
24097 Matadeón de los Oteros,255,52.98
08120 Matadepera,8580,38.32
42110 Matalebreras,85,57.46
24098 Matallana de Torío,1395,50.21
42111 Matamala de Almazán,325,54.66
24099 Matanza,230,58.81
"38025 Matanza de Acentejo, La",8650,39.59
47082 Matapozuelos,1015,43.76
08121 Mataró,122680,39.82
12076 Matet,105,57.91
49113 Matilla de Arzón,195,57.83
47083 Matilla de los Caños,95,48.6
37187 Matilla de los Caños del Río,665,43.31
"40125 Matilla, La",105,57.94
19174 Matillas,160,51.06
26095 Matute,135,60.05
"37188 Maya, La",210,53.83
49115 Mayalde,210,55.54
47084 Mayorga,1610,45.95
44147 Mazaleón,575,47.4
45096 Mazarambroz,1305,42.77
15045 Mazaricos,4555,50.98
34102 Mazariegos,250,49.03
30026 Mazarrón,34380,42.03
39041 Mazcuerras,2120,44.27
19176 Mazuecos,325,52.66
34103 Mazuecos de Valdeginate,105,58.72
36027 Meaño,5450,43.3
09208 Mecerreyes,295,53.75
28083 Meco,12650,33.95
06080 Medellín,2355,42.21
50164 Mediana de Aragón,480,45.47
05123 Mediana de Voltoya,105,47.38
06081 Medina de las Torres,1275,46.5
09209 Medina de Pomar,6150,43.31
47086 Medina de Rioseco,4785,43.41
47085 Medina del Campo,21305,41.75
42113 Medinaceli,770,47.69
11023 Medina-Sidonia,11745,38.08
05124 Medinilla,135,67.68
39042 Medio Cudeyo,7580,41.24
08122 Mediona,2220,40.5
19177 Medranda,95,60.28
26096 Medrano,295,44.41
47087 Megeces,455,49.98
27029 Meira,1785,48.74
36028 Meis,4930,45.7
45097 Mejorada,1320,44.54
28084 Mejorada del Campo,22625,36.12
47088 Melgar de Abajo,130,59.56
47089 Melgar de Arriba,195,50.86
09211 Melgar de Fernamental,1795,50.44
49116 Melgar de Tera,420,59.63
34104 Melgar de Yuso,290,53.37
46166 Meliana,10670,41.06
31164 Mélida,730,50.96
15046 Melide,7435,46.28
52001 Melilla,80655,34.57
32046 Melón,1440,56.32
40126 Melque de Cercos,100,62.9
13054 Membrilla,6285,42.22
19179 Membrillera,110,47.8
10119 Membrío,670,49.1
25134 Menàrguens,875,47.2
45098 Menasalbas,3075,44.29
20901 Mendaro,1960,40.05
48062 Mendata,380,44.88
31165 Mendavia,3660,44.98
31166 Mendaza,345,50.25
48063 Mendexa,435,44.24
31167 Mendigorría,1085,43.32
34106 Meneses de Campos,125,54.7
06082 Mengabril,470,39.85
23061 Mengíbar,9825,37.09
45099 Méntrida,4920,36.49
48064 Meñaka,710,43.13
50165 Mequinenza,2425,45.77
"32047 Merca, A",2205,54.54
"07037 Mercadal, Es",5275,40.99
06083 Mérida,57270,38.62
09213 Merindad de Cuesta-Urria,410,56.75
09214 Merindad de Montija,835,52.94
09906 Merindad de Río Ubierna,1425,44.94
09215 Merindad de Sotoscueva,465,52.69
09216 Merindad de Valdeporres,440,49.99
09217 Merindad de Valdivielso,430,53.23
39043 Meruelo,1780,38.26
10120 Mesas de Ibor,180,53.17
"16124 Mesas, Las",2500,43.9
05126 Mesegar de Corneja,80,63.58
45100 Mesegar de Tajo,240,50.77
15047 Mesía,2875,50.61
50166 Mesones de Isuela,315,53.64
13055 Mestanza,815,52.93
31168 Metauten,290,51.91
50167 Mezalocha,215,56.02
44148 Mezquita de Jarque,115,47.18
"32048 Mezquita, A",1155,51.32
10121 Miajadas,10110,41.37
49117 Micereces de Tera,535,54.68
50169 Miedes de Aragón,440,51.87
39044 Miengo,4665,43.3
39045 Miera,430,50.93
17105 Mieres,330,44.25
33037 Mieres,42345,48.19
37190 Mieza,250,65.75
"07902 Migjorn Gran, Es",1520,43.48
45101 Miguel Esteban,5405,41.03
40128 Migueláñez,170,57.04
13056 Miguelturra,14540,36.05
05127 Mijares,830,50.39
29070 Mijas,73990,38.31
"43083 Milà, El",175,44.91
31169 Milagro,3350,41.03
09218 Milagros,475,46.29
"37191 Milano, El",135,58.49
19184 Millana,145,46.92
10122 Millanes,255,53.5
46167 Millares,450,51.13
03086 Millena,210,48.68
49118 Milles de la Polvorosa,240,54.42
21049 Minas de Riotinto,4125,43.44
02048 Minaya,1680,47.8
16125 Minglanilla,2550,41.08
05128 Mingorría,410,48.33
15048 Miño,5680,45.75
16126 Mira,1010,47.14
10123 Mirabel,695,49.04
19186 Mirabueno,100,58.65
28085 Miraflores de la Sierra,5850,38.64
25135 Miralcamp,1440,42.2
19187 Miralrío,90,50.16
46168 Miramar,2475,41.07
44149 Mirambel,125,45.71
31171 Miranda de Arga,895,46.77
37192 Miranda de Azán,275,35.94
09219 Miranda de Ebro,38140,43.13
37193 Miranda del Castañar,495,51.14
06084 Mirandilla,1360,42.29
09220 Miraveche,85,62.75
43084 Miravet,775,47.13
"05129 Mirón, El",155,65.66
05130 Mironcillo,105,51.84
05131 Mirueña de los Infanzones,125,60.08
46169 Mislata,43490,40.61
36029 Moaña,19275,42.28
45102 Mocejón,4850,39.46
18132 Moclín,4155,44.37
29071 Moclinejo,1285,38.2
09221 Modúbar de la Emparedada,590,37.27
15049 Moeche,1360,52.6
35012 Mogán,22845,40.47
37194 Mogarraz,310,52.12
46170 Mogente/Moixent,4650,41.36
21050 Moguer,20620,36.2
10124 Mohedas de Granadilla,970,45.89
45103 Mohedas de la Jara,485,53.62
19189 Mohernando,205,42.47
08138 Moià,5685,40.04
04064 Mojácar,7080,46.44
47090 Mojados,3260,40.43
"04903 Mojonera, La",8475,33.35
49119 Molacillos,280,50.49
"28086 Molar, El",7935,35.74
"43085 Molar, El",295,49.61
"41063 Molares, Los",3450,37.22
19190 Molina de Aragón,3585,43.92
30027 Molina de Segura,66610,36.59
24100 Molinaseca,870,47.37
02049 Molinicos,1010,53.23
44151 Molinos,285,49.01
42117 Molinos de Duero,175,44.52
"28087 Molinos, Los",4405,39.66
08123 Molins de Rei,24705,39.69
39046 Molledo,1615,51.55
25137 Mollerussa,14565,37.69
17106 Mollet de Peralada,175,47.36
08124 Mollet del Vallès,51975,38.85
29072 Mollina,5115,43.05
17107 Molló,340,48.84
"25136 Molsosa, La",115,49.35
18133 Molvízar,3175,40.72
05132 Mombeltrán,1110,50.93
49121 Mombuey,445,49.87
18134 Monachil,7405,38.11
09224 Monasterio de Rodilla,195,52.7
46171 Moncada,21790,40.22
09225 Moncalvillo,100,69.41
12077 Moncofa,6310,40.48
29073 Monda,2470,39.99
36030 Mondariz,4845,48.66
36031 Mondariz-Balneario,680,45.56
19192 Mondéjar,2720,39.78
27030 Mondoñedo,4090,51.79
50170 Monegrillo,460,48.27
22155 Monesma y Cajigar,95,64.68
06085 Monesterio,4350,41.24
50171 Moneva,115,65.07
49122 Monfarracinos,920,38.52
15050 Monfero,2135,51.85
22156 Monflorite-Lascasas,305,40.87
37196 Monforte de la Sierra,100,58.55
27031 Monforte de Lemos,19215,48.2
44152 Monforte de Moyuela,65,55.86
03088 Monforte del Cid,7750,38.79
08128 Monistrol de Calders,685,44.26
08127 Monistrol de Montserrat,2940,41.48
37197 Monleón,105,56.79
37198 Monleras,255,48.8
03089 Monóvar/Monòver,12570,42.42
50172 Monreal de Ariza,175,57.34
44153 Monreal del Campo,2605,41.77
16128 Monreal del Llano,80,57.56
31172 Monreal/Elo,485,40.06
10125 Monroy,1075,45.92
44154 Monroyo,385,45.24
37199 Monsagro,165,50.96
17109 Montagut i Oix,955,44.23
44155 Montalbán,1355,46.32
14040 Montalbán de Córdoba,4580,43.08
16129 Montalbanejo,130,52.75
16130 Montalbo,760,45.25
02050 Montalvos,125,56.24
49123 Montamarta,610,51.03
12078 Montán,345,49.78
10126 Montánchez,1870,47.42
12079 Montanejos,605,47.72
22157 Montanuy,265,52.19
46173 Montaverner,1815,42.52
43086 Montblanc,7305,41.81
43088 Montbrió del Camp,2490,39.22
08125 Montcada i Reixac,34455,39.05
08130 Montclar,115,43.14
31173 Monteagudo,1135,47.7
16131 Monteagudo de las Salinas,150,55.13
42119 Monteagudo de las Vicarías,240,54.19
47092 Montealegre de Campos,130,54.31
02051 Montealegre del Castillo,2170,43.15
45104 Montearagón,560,45.06
32049 Montederramo,900,56.4
18135 Montefrío,5980,42.79
10127 Montehermoso,5890,41.32
29074 Montejaque,1015,46.87
18136 Montejícar,2385,41.45
37200 Montejo,235,48.18
40129 Montejo de Arévalo,215,55.04
28088 Montejo de la Sierra,290,44.9
40130 Montejo de la Vega de la Serrezuela,150,57.36
42120 Montejo de Tiermes,190,58.94
25139 Montellà i Martinet,675,45.34
41064 Montellano,7140,39.38
14041 Montemayor,4110,41.51
47093 Montemayor de Pililla,970,49.44
37201 Montemayor del Río,305,54.4
06086 Montemolín,1495,47.18
42121 Montenegro de Cameros,85,57.09
50173 Monterde,170,59.53
32050 Monterrei,2915,56.37
27032 Monterroso,3940,49.31
40131 Monterrubio,65,43.03
37202 Monterrubio de Armuña,1295,33.72
06087 Monterrubio de la Serena,2635,47.94
37203 Monterrubio de la Sierra,185,53.39
46174 Montesa,1315,42.68
45105 Montesclaros,455,55.06
"03903 Montesinos, Los",4850,42.68
08131 Montesquiu,895,43.27
25140 Montferrer i Castellbò,995,41.97
43089 Montferri,385,41.32
25138 Montgai,700,50.61
08126 Montgat,10775,39.48
13057 Montiel,1500,42.58
06088 Montijo,16190,40.43
14042 Montilla,23630,41.25
18137 Montillana,1360,43.07
46175 Montitxelvo/Montichelvo,665,43.11
23062 Montizón,1890,44.09
08132 Montmajor,470,46.25
08133 Montmaneu,190,48.55
"43090 Montmell, El",1505,41.05
08135 Montmeló,8785,40.11
25142 Montoliu de Lleida,510,45.69
25141 Montoliu de Segarra,190,54.55
50174 Montón,125,66.73
09227 Montorio,170,35.44
25143 Montornès de Segarra,95,51.43
08136 Montornès del Vallès,16150,37.83
14043 Montoro,9750,40.2
43091 Mont-ral,165,44.12
17110 Mont-ras,1810,41.99
43092 Mont-roig del Camp,12300,40.79
46176 Montroy,2850,40.96
08137 Montseny,300,47.67
46172 Montserrat,7030,37.81
07038 Montuïri,2855,42.78
14044 Monturque,1985,40.78
22158 Monzón,17030,41.48
34108 Monzón de Campos,655,46.41
45106 Mora,10305,41.95
44158 Mora de Rubielos,1625,41.8
43093 Móra d'Ebre,5585,41.04
43094 Móra la Nova,3190,42.45
09228 Moradillo de Roa,195,51.08
13058 Moral de Calatrava,5615,41.46
47094 Moral de la Reina,200,46.73
49124 Moral de Sayago,305,52.32
18138 Moraleda de Zafayona,3250,40.92
10128 Moraleja,7100,42.35
28089 Moraleja de Enmedio,4805,36.77
49126 Moraleja de Sayago,255,50.42
49125 Moraleja del Vino,1615,42.35
47096 Morales de Campos,160,54.95
49128 Morales de Rey,675,52.72
49129 Morales de Toro,1060,49.53
49130 Morales de Valverde,220,61.2
49127 Morales del Vino,2755,39.83
49131 Moralina,345,52.05
28090 Moralzarzal,11910,36.08
36032 Moraña,4410,44.05
37204 Morasverdes,305,52.72
50175 Morata de Jalón,1260,48.58
50176 Morata de Jiloca,275,54.83
28091 Morata de Tajuña,7090,38.43
30028 Moratalla,8305,44.54
19194 Moratilla de los Meleros,135,58.19
34109 Moratinos,65,55.97
10129 Morcillo,400,47.51
33038 Morcín,2850,47.52
01039 Moreda de Álava/Moreda Araba,250,50.42
18909 Morelábor,740,47.07
"43095 Morell, El",3485,37.85
12080 Morella,2615,45.84
31174 Morentin,135,44.09
"43096 Morera de Montsant, La",160,40.29
"06089 Morera, La",740,42.94
49132 Moreruela de los Infanzones,385,51.88
49133 Moreruela de Tábara,365,59.57
50177 Morés,410,53.24
48066 Morga,400,49.02
14045 Moriles,3905,39.94
37205 Morille,265,49.04
37206 Moríñigo,115,50.43
37207 Moriscos,310,39.37
42123 Morón de Almazán,200,52.06
41065 Morón de la Frontera,28190,40.55
37208 Moronta,95,61.46
50178 Moros,425,55.64
36033 Mos,15195,41.64
44160 Mosqueruela,595,47.08
28092 Móstoles,203160,40.19
16133 Mota del Cuervo,6225,40.35
47097 Mota del Marqués,395,47.01
16134 Motilla del Palancar,6215,39.6
02052 Motilleja,590,45.6
18140 Motril,60200,37.99
16135 Moya,195,64.65
35013 Moya,8030,42.61
50179 Moyuela,290,57.88
37209 Mozárbez,470,42.56
40134 Mozoncillo,1030,47.19
50180 Mozota,110,55.84
47098 Mucientes,745,44.64
34110 Mudá,95,57.11
"47099 Mudarra, La",180,50.57
19196 Muduex,115,47.77
50181 Muel,1400,44.54
"50182 Muela, La",5050,36.07
49134 Muelas de los Caballeros,210,56.44
49135 Muelas del Pan,750,56.29
31175 Mues,95,41.31
49136 Muga de Sayago,400,53.04
15051 Mugardos,5470,48.27
32051 Muíños,1735,57.23
30029 Mula,17075,39.08
48068 Mundaka,1900,45.4
50183 Munébrega,465,50.71
02053 Munera,3745,43.87
48069 Mungia,16740,39.78
44161 Muniesa,650,51.5
26098 Munilla,125,50.26
48007 Munitibar-Arbatzegi Gerrikaitz,415,45.57
08129 Muntanyola,595,36.57
05135 Muñana,500,46.62
05136 Muñico,120,51.39
05138 Muñogalindo,390,47.76
05139 Muñogrande,80,57.49
05140 Muñomer del Peco,140,46.2
40135 Muñopedro,320,54.41
05141 Muñopepe,105,48.73
05142 Muñosancho,120,52.8
05143 Muñotello,75,61.03
40136 Muñoveros,190,53.42
08139 Mura,225,43.96
27033 Muras,755,56.64
31176 Murchante,3785,41.2
30030 Murcia,436480,38.72
50184 Murero,140,53.42
24101 Murias de Paredes,480,63.47
47100 Muriel,175,56.51
31177 Murieta,335,45.16
50185 Murillo de Gállego,180,50.32
26099 Murillo de Río Leza,1700,42.16
31178 Murillo el Cuende,685,43.71
31179 Murillo el Fruto,685,49.76
03091 Murla,555,54.35
07039 Muro,6950,41.86
03092 Muro de Alcoy,8940,40.16
15053 Muros,9445,47.83
33039 Muros de Nalón,1925,50.02
18141 Murtas,615,48.23
48908 Murueta,305,42.37
31180 Muruzábal,245,44.62
46177 Museros,6170,39.16
48071 Muskiz,7460,41.84
20057 Mutiloa,255,41.32
20056 Mutriku,5000,42.86
03090 Mutxamel,23080,38.12
15052 Muxía,5265,48.79
48067 Muxika,1465,45
48909 Nabarniz,225,46.21
04065 Nacimiento,515,49.21
42127 Nafría de Ucero,50,54.9
26102 Nájera,8355,41.17
26103 Nalda,1000,47.04
25145 Nalec,90,55.08
45107 Nambroca,4235,35.85
46178 Náquera,5830,36.24
15054 Narón,38925,42.39
05144 Narrillos del Álamo,95,59.12
37211 Narros de Matalayegua,240,55.63
05149 Narros de Saldueña,130,59.09
05147 Narros del Castillo,185,51.98
25025 Naut Aran,1710,37.54
33040 Nava,5530,45.81
05152 Nava de Arévalo,850,48.11
37213 Nava de Béjar,110,50.14
37214 Nava de Francia,140,58.26
40138 Nava de la Asunción,2930,44.26
"45108 Nava de Ricomalillo, La",615,47.83
09229 Nava de Roa,235,51.57
"06090 Nava de Santiago, La",1045,46.62
37215 Nava de Sotrobal,180,51.6
05153 Nava del Barco,110,65.27
47101 Nava del Rey,2055,46.3
"21051 Nava, La",315,44.25
37212 Navacarros,135,50.45
05151 Navacepedilla de Corneja,110,54.1
28093 Navacerrada,2760,41.12
10130 Navaconcejo,2010,44.85
40139 Navafría,345,51.66
45109 Navahermosa,4070,43.45
05156 Navahondilla,325,42.3
12081 Navajas,800,43.28
22160 Naval,250,49.82
05157 Navalacruz,275,57.76
28094 Navalafuente,1205,35.6
28095 Navalagamella,2370,36.54
45110 Navalcán,2320,48.75
28096 Navalcarnero,24640,34.92
42129 Navaleno,870,45.35
37216 Navales,335,50.61
40140 Navalilla,115,58.8
40141 Navalmanzano,1160,45.57
05158 Navalmoral,425,54.6
10131 Navalmoral de la Mata,17195,39.21
45111 Navalmoralejo,70,49.77
"45112 Navalmorales, Los",2640,44.27
05159 Navalonguilla,295,63.98
05160 Navalosa,350,58.02
05161 Navalperal de Pinares,980,44.25
05162 Navalperal de Tormes,110,61.51
13059 Navalpino,260,53.59
"45113 Navalucillos, Los",2510,50.05
05163 Navaluenga,2145,47.58
10132 Navalvillar de Ibor,470,49.76
06091 Navalvillar de Pela,4805,43.47
45114 Navamorcuende,680,55.15
08140 Navarcles,5920,42
40143 Navares de Enmedio,110,53.43
01041 Navaridas,225,45.89
05165 Navarredonda de Gredos,445,49.41
37219 Navarredonda de la Rinconada,205,57.21
28097 Navarredonda y San Mamés,140,56.95
05166 Navarredondilla,260,54.76
46179 Navarrés,3150,42.27
26105 Navarrete,2880,40.17
05167 Navarrevisca,315,50.73
08141 Navàs,6065,42.54
13060 Navas de Estena,320,58.99
02054 Navas de Jorquera,550,47.11
"41066 Navas de la Concepción, Las",1700,43.55
40145 Navas de Oro,1440,47.76
40904 Navas de Riofrío,410,43.67
40146 Navas de San Antonio,430,44.08
23063 Navas de San Juan,4960,41.27
10133 Navas del Madroño,1410,47.15
"05168 Navas del Marqués, Las",5715,38.62
28099 Navas del Rey,2635,38.93
31181 Navascués/Nabaskoze,170,55.27
37221 Navasfrías,510,54.91
17111 Navata,1215,41.42
05169 Navatalgordo,250,58.4
25146 Navès,275,43.99
10134 Navezuelas,675,47.61
33041 Navia,8935,45.88
27034 Navia de Suarna,1340,59.44
49137 Navianos de Valverde,205,56.46
09231 Nebreda,75,63.13
15055 Neda,5430,48.79
15056 Negreira,7075,45.39
37222 Negrilla de Palencia,130,47.61
05171 Neila de San Miguel,85,63.41
42130 Nepas,65,52.89
29075 Nerja,21045,42.8
02055 Nerpio,1475,49.5
21052 Nerva,5695,43.5
18903 Nevada,1165,46.33
"36034 Neves, As",4280,47.68
21053 Niebla,4165,39.42
40148 Nieva,335,46.52
26107 Nieva de Cameros,100,57.92
36035 Nigrán,17825,42.62
18143 Nigüelas,1180,45.79
05172 Niharra,170,59.57
04066 Níjar,28225,35.43
18144 Nívar,970,38.1
31088 Noáin (Valle de Elorz)/Noain (Elortzibar),7525,35.55
23064 Noalejo,2075,44.72
45115 Noblejas,3640,40.58
24102 Noceda del Bierzo,755,51.54
45116 Noez,980,42.41
"27037 Nogais, As",1300,54.02
06092 Nogales,705,41.63
32052 Nogueira de Ramuín,2270,53.32
44163 Noguera de Albarracín,155,46.27
44165 Nogueruelas,195,49.12
15057 Noia,14590,44.69
39047 Noja,2645,40.74
45117 Nombela,1005,45.42
50189 Nonaspe,1045,47
33042 Noreña,5410,43.03
"08142 Nou de Berguedà, La",155,39.92
"43097 Nou de Gaià, La",535,40.06
22162 Novales,165,44.54
50190 Novallas,930,44.72
03093 Novelda,26475,39.85
46180 Novelé/Novetlè,875,40.07
45118 Novés,2925,38.11
42132 Noviercas,185,59.72
50191 Novillas,580,48.19
"03094 Nucia, la",17035,40.51
22163 Nueno,555,43.1
14046 Nueva Carteya,5645,40.75
47102 Nueva Villa de las Torres,320,54.76
50192 Nuévalos,340,41.98
28100 Nuevo Baztán,6030,37.29
50193 Nuez de Ebro,845,40.47
12082 Nules,13460,40.52
43098 Nulles,440,44.33
45119 Numancia de la Sagra,4900,34.56
45120 Nuño Gómez,170,56.74
10135 Nuñomoral,1320,50.01
31183 Obanos,910,40.83
14047 Obejo,2010,38.64
45121 Ocaña,10905,35.54
31185 Ochagavía/Otsagabia,620,51.56
26109 Ochánduri,110,58.71
31184 Oco,70,48.95
26108 Ocón,325,57.03
25148 Odèn,255,53.27
08143 Òdena,3575,39.28
31186 Odieta,360,43.13
44168 Odón,215,54.74
24103 Oencia,355,57.62
17112 Ogassa,250,44.22
18145 Ogíjares,13395,36.78
04067 Ohanes,710,48.86
36036 Oia,3100,45.84
20063 Oiartzun,10010,41.26
32053 Oímbra,1970,52.57
31187 Oitz,150,46.83
26110 Ojacastro,190,57.4
29076 Ojén,3255,40.14
30031 Ojós,580,44.23
44169 Ojos Negros,445,51.1
01042 Okondo,1150,40.79
20058 Olaberria,935,47.22
31188 Olaibar,250,43.77
31189 Olazti/Olazagutía,1660,43.25
44171 Olba,250,45.52
15058 Oleiros,34120,41.89
08145 Olèrdola,3570,38.8
08146 Olesa de Bonesvalls,1720,39.39
08147 Olesa de Montserrat,23705,38.16
25149 Oliana,1850,47.71
45122 Olías del Rey,6920,36.44
44172 Oliete,445,55.62
25150 Oliola,220,50.07
31191 Olite/Erriberri,3735,42.66
25151 Olius,880,37.25
46181 Oliva,26900,41.25
06093 Oliva de la Frontera,5520,45.26
06094 Oliva de Mérida,1845,42.85
10136 Oliva de Plasencia,300,51.73
"35014 Oliva, La",22825,36.74
41067 Olivares,9505,36.81
47103 Olivares de Duero,330,50.46
16139 Olivares de Júcar,385,56.68
08148 Olivella,3615,37.47
06095 Olivenza,11840,39.38
26111 Ollauri,305,47.95
"46183 Olleria, l'",8400,40.63
31194 Ollo,395,40.95
28101 Olmeda de las Fuentes,340,40.79
16141 Olmeda del Rey,150,56.98
16142 Olmedilla de Alarcón,155,48.75
09235 Olmedillo de Roa,190,54.34
47104 Olmedo,3745,42.55
37223 Olmedo de Camaces,125,54.25
49138 Olmillos de Castro,285,62.03
47105 Olmos de Esgueva,235,44.12
34114 Olmos de Ojeda,240,58.96
"44173 Olmos, Los",120,50.25
46182 Olocau,1580,44.25
12083 Olocau del Rey,130,45.9
40149 Olombrada,675,52.86
31192 Olóriz/Oloritz,180,41.68
08149 Olost,1195,47.49
17114 Olot,33040,41.96
"25152 Oluges, Les",165,58.03
04068 Olula de Castro,190,57.08
04069 Olula del Río,6485,39.17
08144 Olvan,890,46.07
42134 Ólvega,3830,41.55
11024 Olvera,8440,42.43
50194 Olvés,115,58.14
"24104 Omañas, Las",315,57.85
"25153 Omellons, Els",250,50.55
"25154 Omells de na Gaia, Els",150,50.72
42135 Oncala,100,51.13
12084 Onda,25025,39.21
03095 Ondara,6545,39.94
48073 Ondarroa,8740,45.5
03096 Onil,7620,41.09
33043 Onís,775,53.62
45123 Ontígola,4075,34.75
46184 Ontinyent,36940,39.88
22165 Ontiñena,595,49.41
02056 Ontur,2240,45.6
24105 Onzonilla,1745,45.14
09238 Oña,930,53.68
20059 Oñati,10885,43.44
03097 Orba,2270,51.8
"37224 Orbada, La",230,54.84
31195 Orbaizeta,215,48.27
09241 Orbaneja Riopico,235,40.49
18146 Orce,1285,47.27
23065 Orcera,1960,44.93
15059 Ordes,12895,44
17115 Ordis,385,41.81
20076 Ordizia,9635,42
19204 Orea,235,49.67
06096 Orellana de la Sierra,280,53.7
06097 Orellana la Vieja,2920,45.4
20905 Orendain,180,37.11
50196 Orera,135,58.32
20060 Orexa,125,39.79
25155 Organyà,890,48.37
45124 Orgaz,2790,42.88
18147 Órgiva,5470,42.61
04070 Oria,2585,49.16
03099 Orihuela,79655,43.23
44174 Orihuela del Tremedal,570,46.18
20061 Orio,5320,40.63
08150 Orís,300,43.25
31197 Orísoain,90,41.7
08151 Oristà,560,47.71
31906 Orkoien,3710,33.19
20062 Ormaiztegi,1320,40.22
45125 Oropesa,2860,46.05
12085 Oropesa del Mar/Orpesa,9730,39.04
15060 Oroso,7255,38.99
"38026 Orotava, La",41420,39.8
31199 Oroz-Betelu/Orotz-Betelu,160,59.01
48075 Orozko,2510,42.69
08152 Orpí,160,40.25
44175 Orrios,155,52.12
08153 Òrrius,655,39.42
26112 Ortigosa de Cameros,280,51.55
40151 Ortigosa de Pestaño,100,34.93
40901 Ortigosa del Monte,560,38.06
15061 Ortigueira,6645,51.55
48083 Ortuella,8340,43.49
28102 Orusco de Tajuña,1185,42.69
03098 Orxeta,875,48.21
25156 Os de Balaguer,975,42
16145 Osa de la Vega,595,47.73
50199 Osera de Ebro,390,44.09
"05175 Oso, El",210,57.1
17116 Osor,450,46.7
34901 Osorno la Mayor,1400,48.33
02057 Ossa de Montiel,2625,44.5
22167 Osso de Cinca,780,46.53
25157 Ossó de Sió,215,47.46
41068 Osuna,17845,39.22
31200 Oteiza,940,44.11
45126 Otero,370,44.01
49139 Otero de Bodas,205,62.41
40152 Otero de Herreros,1000,41.5
18148 Otívar,1195,42.67
46185 Otos,475,48.3
18149 Villa de Otura,6925,37.81
48072 Otxandio,1300,42.78
32054 Ourense,106295,44.88
27038 Ourol,1145,57.67
27039 Outeiro de Rei,4950,46.97
15062 Outes,7170,50.26
33044 Oviedo,223475,44.17
01043 Oyón-Oion,3255,38.94
15063 Oza dos Ríos,3220,50.03
08154 Pacs del Penedès,830,38.95
15064 Paderne,2590,51.2
32055 Paderne de Allariz,1590,55.12
05176 Padiernos,260,46.35
09242 Padilla de Abajo,95,63.23
32056 Padrenda,2170,53.29
15065 Padrón,8905,44.38
18150 Padul,8430,38.62
04071 Padules,520,51.5
46186 Paiporta,24390,37.85
35015 Pájara,19735,36.06
05177 Pajares de Adaja,185,51.06
37225 Pajares de la Laguna,135,49.8
49141 Pajares de la Lampreana,425,52.55
24107 Pajares de los Oteros,365,54.56
16146 Pajarón,95,60.67
05178 Palacios de Goda,445,51.55
09246 Palacios de la Sierra,760,49.96
24108 Palacios de la Valduerna,435,57.15
49143 Palacios de Sanabria,275,52.88
37226 Palacios del Arzobispo,175,60.55
49142 Palacios del Pan,275,52.89
24109 Palacios del Sil,1175,50.76
"41069 Palacios y Villafranca, Los",37665,36.17
37228 Palaciosrubios,420,54.19
08155 Palafolls,8905,36.93
17117 Palafrugell,22570,40.01
17118 Palamós,17755,41.9
27040 Palas de Rei,3655,54.38
